ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10280442,HY468738,10/18/2015 09:30:00 PM,049XX W CORTEZ ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,false,true,1531,015,37,25,04B,1143180,1906530,2015,10/25/2015 03:55:25 PM,41.89955916,-87.749547589,"(41.89955916, -87.749547589)"
10280160,HY468326,10/18/2015 09:30:00 PM,072XX S LANGLEY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0323,003,6,69,26,1182148,1857150,2015,10/25/2015 03:55:25 PM,41.76324022,-87.607950838,"(41.76324022, -87.607950838)"
10278886,HY467329,10/18/2015 09:30:00 PM,035XX S COTTAGE GROVE AVE,0330,ROBBERY,AGGRAVATED,CHA PARKING LOT/GROUNDS,false,false,0212,002,4,36,03,1181307,1881665,2015,10/25/2015 03:55:25 PM,41.830530933,-87.610277459,"(41.830530933, -87.610277459)"
10278882,HY467426,10/18/2015 09:30:00 PM,124XX S EMERALD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0523,005,34,53,14,1173581,1822344,2015,10/25/2015 03:55:25 PM,41.667921528,-87.640377099,"(41.667921528, -87.640377099)"
10278976,HY467368,10/18/2015 09:30:00 PM,038XX S LAKE PARK AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,OTHER,false,true,0212,002,4,36,26,,,2015,10/25/2015 03:55:25 PM,,,
10278845,HY467299,10/18/2015 09:26:00 PM,119XX S MICHIGAN AVE,0860,THEFT,RETAIL THEFT,TAVERN/LIQUOR STORE,true,false,0532,005,9,53,06,1178993,1825609,2015,10/25/2015 03:55:25 PM,41.676760061,-87.620471648,"(41.676760061, -87.620471648)"
10278801,HY467309,10/18/2015 09:25:00 PM,088XX S BURLEY AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,CHA PARKING LOT/GROUNDS,true,false,0424,004,7,46,26,1199206,1846940,2015,10/25/2015 03:55:25 PM,41.734811534,-87.545773817,"(41.734811534, -87.545773817)"
10278804,HY467304,10/18/2015 09:25:00 PM,039XX W LEXINGTON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SMALL RETAIL STORE,true,false,1132,011,24,26,18,1150212,1896407,2015,10/25/2015 03:55:25 PM,41.871646346,-87.723982869,"(41.871646346, -87.723982869)"
10279372,HY467311,10/18/2015 09:15:00 PM,0000X W 87TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0634,006,21,44,08B,,,2015,10/25/2015 03:55:25 PM,,,
10278791,HY467288,10/18/2015 09:10:00 PM,002XX N CALIFORNIA AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,true,false,1222,012,27,27,15,1157680,1901701,2015,10/25/2015 03:55:25 PM,41.886024843,-87.696420524,"(41.886024843, -87.696420524)"
